scenario,n_frames,conflict_A_pct,n_conflicts_A,speed_acc_pct,steer_acc_pct,mean_ep_err_m,natural_agree_pct,conflict_B_before_pct,conflict_B_after_pct,n_conflicts_B_before,n_conflicts_B_after,n_conflicts_resolved,resolution_rate_pct,conflict_B2_before_pct,conflict_B2_after_pct,n_conflicts_B2_before,n_conflicts_B2_after,conflict_C_pct,n_conflicts_C,rule_agreement_pct,rule_no_conflict_pct,rule_ttc_pct,rule_tiebreak_pct
0,117,0.0,0,100.0,100.0,27.098,21.4,0.0,0.0,0,0,0,,,,,,0.0,0,21.4,78.6,0.0,0.0
1,84,0.0,0,95.2,53.6,28.162,28.6,20.2,4.8,17,4,13,76.5,,,,,9.5,8,28.6,56.0,11.9,3.6
2,114,0.0,0,100.0,96.5,34.942,63.2,0.0,0.0,0,0,0,,,,,,0.0,0,63.2,36.8,0.0,0.0
3,168,0.0,0,98.8,100.0,9.812,40.5,16.7,7.1,28,12,16,57.1,,,,,8.9,15,40.5,44.6,14.9,0.0
4,150,0.0,0,98.0,100.0,1.357,86.0,0.0,0.0,0,0,0,,,,,,0.0,0,86.0,14.0,0.0,0.0
5,280,0.0,0,100.0,100.0,5.705,100.0,0.0,0.0,0,0,0,,,,,,0.0,0,100.0,0.0,0.0,0.0
6,274,2.6,7,99.3,100.0,2.811,63.5,14.2,14.2,39,39,0,0.0,,,,,14.2,39,63.4,28.9,7.7,0.0
7,191,0.0,0,84.8,84.3,7.29,8.9,0.0,0.0,0,0,0,,,,,,0.0,0,8.9,91.1,0.0,0.0
8,345,0.0,0,100.0,100.0,0.435,100.0,0.0,0.0,0,0,0,,,,,,0.0,0,100.0,0.0,0.0,0.0
all,1723,0.4,7,97.7,95.8,8.869,65.8,4.9,3.2,84,55,29,34.5,,,,,3.6,62,65.8,30.8,3.3,0.2
