scenario,gt_n_frames,gt_full_agree_pct,gt_speed_agree_only_pct,gt_steer_agree_only_pct,gt_full_disagree_pct,gt_conflict_pct,gt_no_conflict_pct,gt_mean_min_dist_m,gt_min_min_dist_m,gt_both_go_pct,gt_one_yields_pct,gt_both_stop_pct
0,117,21.4,78.6,0.0,0.0,0.0,100.0,82.336,76.667,100.0,0.0,0.0
1,84,35.7,14.3,15.5,34.5,0.0,100.0,49.465,44.026,100.0,0.0,0.0
2,114,51.8,48.2,0.0,0.0,0.0,100.0,47.5,46.265,100.0,0.0,0.0
3,168,43.5,0.0,56.5,0.0,0.0,100.0,32.188,13.901,55.4,44.6,0.0
4,150,83.3,0.0,16.7,0.0,0.0,100.0,8.198,8.102,0.0,4.7,95.3
5,280,100.0,0.0,0.0,0.0,0.0,100.0,26.813,8.824,100.0,0.0,0.0
6,274,60.9,1.1,38.0,0.0,0.4,99.6,4.753,2.973,15.0,37.2,47.8
7,191,11.5,0.0,46.6,41.9,0.0,100.0,48.826,45.262,0.0,0.0,100.0
8,345,100.0,0.0,0.0,0.0,0.0,100.0,7.928,7.906,0.0,0.0,100.0
all,1723,65.4,9.4,18.9,6.3,0.1,99.9,27.111,2.973,42.3,10.7,47.0
